date,n_trades,n_win,n_loss,n_other,day_pl,cash
2025-02-26,0,0,0,0,0.0,1000000.0
2025-02-27,3,0,0,0,0.0,443631.99999999936
2025-02-28,3,0,0,0,0.0,443631.99999999936
2025-03-03,0,0,0,0,0.0,443631.99999999936
2025-03-04,2,0,0,0,0.0,443631.99999999936
2025-03-05,0,0,0,0,0.0,443631.99999999936
2025-03-06,0,0,0,0,0.0,443631.99999999936
2025-03-07,1,0,0,0,0.0,443631.99999999936
2025-03-10,0,0,0,0,0.0,443631.99999999936
2025-03-11,1,0,0,0,0.0,443631.99999999936
2025-03-12,0,0,0,0,0.0,443631.99999999936
2025-03-13,0,0,0,0,0.0,443631.99999999936
2025-03-14,0,0,0,0,0.0,443631.99999999936
2025-03-17,0,0,0,0,0.0,443631.99999999936
2025-03-18,0,0,0,0,0.0,443631.99999999936
2025-03-19,0,0,0,0,0.0,443631.99999999936
2025-03-20,0,0,0,0,0.0,443631.99999999936
2025-03-21,0,0,0,0,0.0,443631.99999999936
2025-03-24,0,0,0,0,0.0,443631.99999999936
2025-03-25,0,0,0,0,0.0,443631.99999999936
2025-03-26,0,0,0,0,0.0,443631.99999999936
2025-03-27,1,0,0,0,0.0,443631.99999999936
2025-03-28,3,0,0,1,10000.0,453631.99999999936
2025-03-31,5,0,0,0,0.0,453631.99999999936
2025-04-01,3,0,0,0,0.0,453631.99999999936
2025-04-02,0,0,0,0,0.0,453631.99999999936
2025-04-03,5,0,0,0,0.0,453631.99999999936
2025-04-04,5,0,0,3,59100.0,512731.99999999936
2025-04-07,5,0,0,0,0.0,512731.99999999936
2025-04-08,0,0,0,0,0.0,512731.99999999936
2025-04-09,5,0,0,0,0.0,512731.99999999936
2025-04-10,0,0,0,0,0.0,512731.99999999936
2025-04-11,5,0,0,1,0.0,512731.99999999936
2025-04-14,0,0,0,0,0.0,512731.99999999936
2025-04-15,0,0,0,0,0.0,512731.99999999936
2025-04-16,0,0,0,0,0.0,512731.99999999936
2025-04-17,0,0,0,0,0.0,512731.99999999936
2025-04-18,0,0,0,0,0.0,512731.99999999936
2025-04-21,0,0,0,0,0.0,512731.99999999936
2025-04-22,0,0,0,0,0.0,512731.99999999936
2025-04-23,0,0,0,0,0.0,512731.99999999936
2025-04-24,0,0,0,0,0.0,512731.99999999936
2025-04-25,0,0,0,0,0.0,512731.99999999936
2025-04-28,1,0,1,0,-8490.00000000001,504241.99999999936
2025-04-29,0,0,0,0,0.0,504241.99999999936
2025-04-30,3,0,0,1,-3400.0,500841.99999999936
2025-05-01,0,0,0,0,0.0,500841.99999999936
2025-05-02,0,0,0,0,0.0,500841.99999999936
2025-05-05,0,0,0,0,0.0,500841.99999999936
2025-05-06,0,0,0,0,0.0,500841.99999999936
2025-05-07,0,0,0,0,0.0,500841.99999999936
2025-05-08,0,0,0,0,0.0,500841.99999999936
2025-05-09,1,0,1,0,-14656.500000000005,486185.49999999936
2025-05-12,1,0,0,0,0.0,486185.49999999936
2025-05-13,0,0,0,0,0.0,486185.49999999936
2025-05-14,3,0,0,1,-7000.0,479185.49999999936
2025-05-15,4,0,1,0,-13860.000000000015,465325.49999999936
2025-05-16,3,0,0,0,0.0,465325.49999999936
2025-05-19,0,0,0,0,0.0,465325.49999999936
2025-05-20,1,0,0,0,0.0,465325.49999999936
2025-05-21,0,0,0,0,0.0,465325.49999999936
2025-05-22,0,0,0,0,0.0,465325.49999999936
2025-05-23,0,0,0,0,0.0,465325.49999999936
